"Grid_code" "Collection_date" "Ecosystem" "Country" "Locality" "X" "Y" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "dep_oxy_num" "depth_oxy" "Pature" "Fauche" "plant_richness" "pl_rich_LCL" "pl_rich_UCL" "plant_H" "pl_H_LCL" "pl_H_UCL" "virus_richness" "v_rich_LCL" "v_rich_UCL" "virus_H" "v_H_LCL" "v_H_UCL" "Biomass" "fungi_richness" "plant_richness2" "p_richness_class5" "p_richness_class2" "log_virus_richness" "log_plant_richness" "log_plant_richness2" "log_plant_H" "log_virus_H" "log_biomass" "log_plant_equit" "plant_equit" "buffer_size" "wetland" "natural_landscape" "non_emitting" "cultivated" "artificial" "clust_landscp" "clust_land_use" "sbm_soil" "Vegetation" "clust_smb_grid_plant" "sbm_virus"
"11" "21_CAM_06" "2021-05-12" "Pond grassland" "France" "Arles" 4.69619543088929 43.4882861096488 2307073 8 27 4.36 59 365 1271 12174 2342 2351 25.2900232018562 10.7571344967487 36.8 46.3 9.3 4.4 3.2 3020 410 243.90243902439 "27" 27 "20-29" 1 0 12 10.3596984677012 13.6403015322988 5.35450229754303 5.02702173616613 5.68198285891992 1 1 1 1 1 1 56.97 76 144 "(10,15]" "(10,12]" 0.693147180559945 2.56494935746154 6.57896520634235 1.8491635849015 0.693147180559945 4.05992563535164 -0.715785772560039 0.446208524795252 300 63.7883192281601 0.328805875691969 2.3421902478977 32.4623903576043 1.07829429064594 4 1 2 0.366666666666667 6 4
"12" "21_CAM_07" "2021-05-12" "Restored grassland" "France" "Arles" 4.70331164239781 43.4847478824991 2307074 8.1 28 3.48 69 301 1384 11267 2458 2149 20.1856148491879 9.39302691911956 33.7 47.2 14.4 3.1 1.6 3180 380 263.157894736842 "15" 15 "10-19" 1 0 10 8.86265552270666 11.1373444772933 6.42461668079412 6.16254216467603 6.68669119691221 1 1 1 1 1 1 38.24 48 100 "(5,10]" "(8,10]" 0.693147180559945 2.39789527279837 5.74990173930877 2.00480105787385 0.693147180559945 3.66969663469716 -0.393094214924522 0.642461668079412 300 0.442277048344374 78.2554303959652 2.48973596184489 18.8125565938455 0 2 1 2 0.533333333333333 6 4
"13" "21_CAM_08" "2021-05-25" "Farmland meadow" "France" "Arles" 4.6624799580786 43.5788247199816 2307075 8.2 26 5.26 61 88 727 11788 280 2947 30.5104408352668 10.3530508433209 21.2 30.4 26.3 19.3 2.8 96 2430 41.1522633744856 "27" 27 "20-29" 0 1 8 7.02282196767516 8.97717803232484 2.24031033168687 2.14065623598266 2.33996442739109 5 2.57711406480393 7.42288593519607 3.89322047476173 1.78431593848686 6.00212501103661 160.88 91 64 "(5,10]" "(6,8]" 1.79175946922805 2.19722457733622 4.82779584325033 1.17566910660233 1.5878506705115 5.08685532000766 -1.02155547073389 0.280038791460859 300 0 0 5.5374905822656 79.8867528902472 14.5757565274872 1 3 3 0.966666666666667 4 3
"14" "21_CAM_09" "2021-05-25" "Farmland meadow" "France" "Arles" 4.66257 43.58004 2307076 8 28 6.63 48 69 264 11929 91 3689 38.4570765661253 10.4247971174099 19.2 27.3 24.1 25.5 3.9 26 3570 28.0112044817927 "27" 27 "20-29" 0 1 10 9.14704908560446 10.8529509143955 2.0247519401309 1.91588293466333 2.13362094559846 8 4.09690787666883 11.9030921233312 6.06963388523116 3.21609398530719 8.92317378515512 151.89 102 100 "(5,10]" "(8,10]" 2.19722457733622 2.39789527279837 5.74990173930877 1.10682908485784 1.95580869430047 5.02971870857252 -1.29106618794053 0.20247519401309 300 0 0 18.7590641926896 74.3854709338148 6.8554648734956 1 3 3 0.977777777777778 4 3
"15" "21_CAM_10" "2021-05-25" "Farmland meadow" "France" "Arles" 4.6785 43.50322 2307077 8.1 28 4.3 38 313 590 12169 345 2635 24.9419953596288 9.46565288790466 25.8 40 20.4 11.7 2.1 378 1860 53.7634408602151 "15" 15 "10-19" 1 1 16 12.4474842459516 19.5525157540484 4.57523401503451 4.36279923425492 4.78766879581409 14 10.1968081278096 17.8031918721904 12.9036180247066 9.56659671632026 16.240639333093 172.27 87 256 "(15,20]" "(14,16]" 2.70805020110221 2.83321334405622 8.02709785293821 1.71833429225617 2.63214909581444 5.15485107152276 -1.11487905180005 0.285952125939657 300 19.2844467095685 40.5194459494922 39.0988909824105 0 1.09721635852884 3 4 3 0.977777777777778 4 3
"16" "21_CAM_11" "2021-05-25" "Farmland meadow" "France" "Arles" 4.67599 43.50309 2307078 8.1 22 7.29 52 289 931 13457 449 4038 42.2853828306265 10.4718630090704 36.6 38.9 14.7 7.4 2.4 418 1670 59.8802395209581 "0" 0 "0-9" 1 1 8 7.09271297414126 8.90728702585874 2.44163903546028 2.26392406271339 2.61935400820718 5 1.84685512465623 8.15314487534378 5 2.04391688235092 7.95608311764908 42.64 75 64 "(5,10]" "(6,8]" 1.79175946922805 2.19722457733622 4.82779584325033 1.23594782170907 1.79175946922806 3.77597416096487 -0.961276755627151 0.305204879432535 300 25.4681186406484 53.3916509033492 20.3760431629719 0 0.7641872930305 3 4 1 0.666666666666667 4 4
"17" "21_CAM_12" "2021-06-08" "Brachypodium-dominated grassland" "France" "Arles" 4.6534799906287 43.580759365755 2307079 8.2 28 4.19 24 281 248 13262 57 2739 24.3039443155452 8.8732910973148 29.5 38.1 16.2 13.9 2.3 70 4360 22.9357798165138 "34" 34 "30-39" 0 0 7 6.38528534053088 7.61471465946912 1.18940386574704 1.13741778977695 1.24138994171712 5 2.32931284732099 7.67068715267901 3.41278751846537 1.36996221058772 5.45561282634301 233.01 108 49 "(5,10]" "(6,8]" 1.79175946922805 2.07944154167984 4.32407712526381 0.783629299351801 1.48450658012875 5.45536384948732 -1.29581224232804 0.169914837963863 300 8.60178794587271 49.8518334956098 2.76861261773312 38.7777659407843 0 2 2 3 0.866666666666667 7 3
"18" "21_CAM_13" "2021-06-08" "Brachypodium-dominated grassland" "France" "Arles" 4.6528288009641 43.5800674416801 2307080 8.1 28 4.44 23 258 210 13538 49 2862 25.754060324826 8.99862345381761 31.1 38.8 18.4 9.8 1.9 44 4660 21.4592274678112 "31" 31 "30-39" 0 0 6 5.72281923513006 6.27718076486994 1.59320346176267 1.49718233707741 1.68922458644792 2 0.67309810982444 3.32690189017556 1.88988157484231 0.746278140869563 3.03348500881506 255.42 108 36 "(5,10]" "(4,6]" 1.09861228866811 1.94591014905531 3.78656630819647 0.95289396925637 1.06121552372152 5.54681672512455 -0.993016179798943 0.265533910293778 300 8.4175965169476 68.1088745020406 1.47033040294707 22.0031985780648 0 2 2 3 0.766666666666667 7 4
"19" "21_CAM_16" "2021-06-21" "Dune grassland" "France" "Arles" 4.61689918051189 43.4152021723605 2307081 9 20 0.55 29 31 128 7282 43 332 3.19025522041763 9.60920247113745 2.9 0.7 3.2 10.7 82.5 26 8850 11.2994350282486 ">40" 40 ">40" 0 0 10 9.21202463184803 10.787975368152 3.81128092887958 3.56922688290779 4.05333497485138 8 5.79923331567697 10.200766684323 7.585432434654 5.53726258419745 9.63360228511055 125.71 98 100 "(5,10]" "(8,10]" 2.19722457733622 2.39789527279837 5.74990173930877 1.57096335404506 2.15006686403648 4.84190101081082 -0.826931918753314 0.381128092887958 300 17.3404322841953 2.44596604705686 80.2136016687478 0 0 3 2 4 0.527777777777778 5 2
"20" "21_CAM_17" "2021-06-21" "Dune grassland" "France" "Arles" 4.60590186937674 43.4098219821539 2307082 9.3 25 0.49 26 117 656 8765 865 301 2.84222737819026 9.44261587438623 3.6 2.5 3.4 26.8 63.7 1180 1150 86.9565217391304 "2" 2 "0-9" 0 0 9 7.19365338762841 10.8063466123716 1.99387386032245 1.84683325928445 2.14091446136045 3 1.17524299515645 4.82475700484355 3 1.26640145079592 4.73359854920408 172.43 85 81 "(5,10]" "(8,10]" 1.38629436111989 2.30258509299405 5.3018981104784 1.09656815428908 1.38629436111989 5.15577405976249 -1.20601693870496 0.221541540035828 300 31.1099188392111 40.2788014926475 28.6112796681413 0 0 3 2 4 0.4 7 4
