"20_CAM_01" "20_CAM_02" "20_CAM_03" "20_CAM_04" "20_CAM_05" "21_CAM_01" "21_CAM_02" "21_CAM_03" "21_CAM_04" "21_CAM_05" "21_CAM_06" "21_CAM_07" "21_CAM_08" "21_CAM_09" "21_CAM_10" "21_CAM_11" "21_CAM_12" "21_CAM_13" "21_CAM_16" "21_CAM_17" "21_CAM_18" "22_CAM_01" "22_CAM_02" "22_CAM_03" "22_CAM_04" "22_CAM_05" "22_CAM_06" "22_CAM_07" "22_CAM_08" "22_CAM_09" "22_CAM_10" "22_CAM_11" "22_CAM_12" "22_CAM_13" "22_CAM_14" "22_CAM_15" "22_CAM_16" "22_CAM_17" "22_CAM_18" "22_CAM_19" "22_CAM_20" "22_CAM_21"
"Cercospora_zebrina" 79 3027 69 105 0 634 145 630 0 9 0 0 21 10 0 1 0 0 0 0 0 16 76 880 1179 349 0 6 0 12 62 0 4 166 0 0 21 1 3535 0 0 0
"Cercosporella_catenulata" 90 942 4824 0 0 0 0 6 1726 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 8 2882 3100 88 0 0 0 0 0 0 0 0 3 0 150 89 0 0
"Chaetomella_zambiensis" 0 0 0 0 1 5472 303 231 0 0 0 0 0 0 0 0 0 0 0 0 0 172 666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chaetomium_capillare" 0 17 7 3 1 0 0 0 30 0 0 0 0 0 0 0 0 0 4 0 0 19 173 36 67 5 452 0 0 0 0 0 0 0 0 0 0 2 0 8 0 72
"Chaetospermum_chaetosporum" 0 0 0 208 178 3 1 0 0 0 0 0 5 0 0 0 615 0 0 0 0 7 24 0 2 0 0 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Chaetosphaeronema_achilleae" 10 51 44 34 23 31833 11181 1384 8 13 2 0 4 17 512 7 13 0 2576 2 2 8582 11359 4748 5719 370 164 108 98 192 1692 1 2691 4709 258 0 1 5 2132 5 1 0
"Chloridium_submersum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chlorociboria_metrosideri" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromolaenicola_chiangraiensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"Ciboria_cistophila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cippumomyces_mortalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cladophialophora_eucalypti" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 29 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cladophialophora_hostae" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 20 20 40 51 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0
"Cladorrhinum_flexuosum" 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Cladorrhinum_foecundissimum" 0 1 0 2 8 75 5 0 0 0 0 0 1 2 0 0 0 25 4 0 0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cladosporium_basi-inflatum" 126708 124556 98857 47548 77591 75768 95013 46878 99052 215890 197650 135392 54068 77564 25745 88409 36621 57001 59093 27623 251552 32063 43567 165573 160012 20732 26205 4125 167208 87212 65810 47112 52043 35801 132693 555 15147 12439 29835 123513 91727 18124
"Cladosporium_domesticum" 1 0 0 0 0 0 4 4 3 0 5 2 3 9 0 1 1 18 39 21 41 0 4 0 1 1 0 0 2 2 0 0 2 0 0 0 1 0 0 0 2 6
"Cladosporium_endophyticum" 0 0 0 0 1 1 0 3 1 0 1 0 0 0 1 0 1 0 6 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"Clarireedia_bennettii" 1222 659 16018 0 2106 16282 11372 199 15 0 0 0 246 15464 0 16 0 0 74 0 0 11928 24625 7711 35140 85203 15243 780 1700 77 1 1 0 3588 0 0 9 335 4 143 0 0
"Clathrosphaerina_zalewskii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Claviceps_macroura" 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clitopilus_kamaka" 9 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clonostachys_miodochialis" 0 0 0 547 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Colletotrichum_dematium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 14 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_destructivum" 13358 2150 19 90 74 2397 260 0 0 0 0 0 7505 2650 1411 53 1 0 0 0 0 3 97 75 57 0 0 245 176 375 42 661 0 0 1 0 0 0 26 0 0 0
"Colletotrichum_dolichoconidiophorum" 92 0 0 0 0 25 1 0 0 0 0 0 27 16 26 0 0 0 0 0 0 0 0 12 1 0 0 6 38 20 0 40 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_duyunensis" 32 4 0 0 0 66 39 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 3 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_guangxiense" 2 0 0 0 0 3 32 0 0 0 0 0 3 0 0 22 2 38 0 0 0 0 0 2 5 0 0 0 1 3 0 13 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_hemerocallidis" 0 0 0 4 0 0 0 0 0 0 0 0 5 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 79 151 0 27 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_jacksonii" 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_lentis" 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_navitas" 0 0 0 0 0 33 18 0 0 0 0 0 69 132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 111 0 11 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_ochraceae" 191 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_paraendophytum" 0 0 0 7 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_paspali" 0 0 0 0 0 2 0 0 0 0 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 23 0 1 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_psidii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colletotrichum_zhejiangense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 6 0 2 0 0 0 0 0 0 0 0 0 0
"Comoclathris_spartii" 0 0 0 2 0 740 8 1085 2 16 5 2 1 1 1 0 0 2 3920 43 26 0 0 55 262 130 5 5 3 0 0 1 2565 6381 770 1 53 677 0 0 0 23
"Coniocessia_maxima" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coniochaeta_africana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coniochaeta_baysunika" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coniochaeta_luteorubra" 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 3 411 0 2 11 0
"Coniochaeta_polymorpha" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 5 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coniolariella_hispanica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Conocybe_apala" 0 0 0 147 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Conocybe_tenera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Constantinomyces_oldenburgensis" 0 0 1 2 1 3 0 4 2 1 10 0 1 0 0 0 4 6 1 762 0 0 0 2 19 1 0 0 0 0 0 0 2 0 53 0 0 2 0 0 0 0
"Coprinellus_brevisetulosus" 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Coprinellus_christianopolitanus" 0 0 4 0 0 145 5 0 6542 0 0 387 0 0 0 0 0 0 159 0 0 60 349 35 0 5 28 3 0 1 0 0 76 1 1 0 7 131 0 22 0 0
"Coprinellus_cinereopallidus" 0 0 0 0 0 1 5 0 0 0 4 0 3 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_curtus" 0 2 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_micaceus" 0 0 0 0 0 0 0 0 1 5 0 0 10 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_pallidus" 0 0 0 0 0 3 27 0 0 0 0 0 4 2 0 0 0 0 0 0 0 25 0 2 11 17 104 136 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_plagioporus" 0 0 0 19 1 434 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 18 2 25 21 60 17 202 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_sclerocystidiosus" 0 0 0 0 0 20 16 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinellus_xanthothrix" 0 0 0 0 0 0 2 0 0 2 0 0 3 0 1 0 0 0 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinopsis_musae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinopsis_patouillardii" 0 0 0 0 0 1 0 0 0 0 0 0 23 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Coprinopsis_scobicola" 0 0 6 0 0 0 0 0 19 0 0 0 2 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Coprinopsis_urticicola" 0 0 0 0 0 1 782 0 0 0 0 0 6 9362 0 2 0 0 0 0 0 0 0 0 0 0 86 0 2 14 0 0 0 41 0 0 0 0 0 0 0 2
"Coprinopsis_villosa" 0 0 0 2 10 0 1 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinus_colosseus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprinus_phaeopunctatus" 217 0 0 708 13 61 3 0 0 0 0 0 263 22 261 0 0 0 0 0 0 259 28 136 45 0 986 6 0 3266 8 0 2 0 0 0 0 0 0 0 0 0
"Coprinus_subdomesticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coronellaria_caricinella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corticifraga_peltigerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 0 0 1 0 0 0 0
"Cosmospora_lavitskiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 15
"Crinipellis_scabella" 0 0 0 305 656 0 0 0 0 0 0 0 0 0 0 0 8075 5655 0 0 0 0 0 161 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cryptococcus_festucosus" 12 56 109 3 18 655 149 8 6 124 5 1 4198 3805 84 6 16 2 4 24 0 466 617 121 185 37 66 1 1917 95 177 24 7 7 17 0 10 5 7 2 0 0
"Cryptomarasmius_corbariensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cryptosphaeria_eunomia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Cryptosphaeria_subcutanea" 0 0 0 0 0 0 0 0 0 0 0 0 8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Cucurbitaria_oromediterranea" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Curvularia_beasleyi" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Curvularia_hawaiiensis" 246 22 0 0 0 99 9 1 3 3 7 0 0 0 0 195 0 0 0 0 0 0 0 6 21 0 0 3319 0 1 0 4 0 0 0 0 0 0 0 1 0 0
"Curvularia_inaequalis" 0 0 0 0 0 0 0 0 0 0 0 1 15 0 0 67 0 0 9 0 0 3 1 0 0 0 0 0 0 0 2 1774 0 0 0 0 0 0 0 0 0 0
"Curvularia_rouhanii" 0 2 0 0 0 173 13 0 0 0 1 0 2 11 0 3 1 63 1 0 0 7149 5618 311 53 1 0 6 0 1 1 14 1 0 1 0 0 0 0 0 1 0
"Curvularia_subpapendorfii" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Cyanodermella_banksiae" 0 0 0 55 102 0 0 0 0 0 2 0 0 0 0 34 10010 1287 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 8 0 0 0
"Cyanodermella_oleoligni" 0 0 0 5 30 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyathus_stercoreus" 0 0 0 0 0 0 3 0 0 0 0 0 0 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
"Cylindrotrichum_submersum" 17 6 204 908 226 0 0 0 7 0 0 0 0 0 0 0 146 122 0 46 0 0 0 0 0 50 112 1 0 0 0 0 0 0 0 0 24 8 0 0 0 0
"Cyphellophora_clematidis" 0 0 0 0 0 0 0 16 9 14 0 2 0 0 0 0 0 1 38 0 0 1 1 1 18 641 902 0 0 0 0 0 2 2 3 2 2 1 0 0 1 1
"Cyphellophora_laciniata" 2 3 55 8 24 46 17 70 1 0 10 3 175 213 3 39 9 37 0 0 0 6 18 42 28 109 358 56 57 51 31 1 1 1 0 0 3 2 43 40 0 0
"Cyphellophora_livistonae" 8 0 0 0 0 1 33 0 1 0 4 1 1 109 0 0 23 12 0 1 0 0 0 1 0 0 0 2 1 21 0 0 0 0 0 0 0 0 0 0 0 0
"Cyphellophora_reptans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyphellophora_sambuci" 0 2 10 26 44 0 0 7 1 0 0 0 0 0 0 0 27 56 2 0 0 2 0 52 14 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Cyphellophora_vermispora" 14 3 2 14 7 27 5 0 0 0 147 192 59 183 1 25 0 0 0 0 0 0 0 2 13 81 1 108 3 17 13 3 0 0 0 0 0 0 1 35 2 0
"Cystobasidium_lysinophilum" 1 1 3 1 2 2 0 0 2 0 56 19 0 3 6 1 0 0 6 0 0 29 78 8 6 23 9 1 0 0 0 0 10 5 3 0 0 0 0 1 8 4
"Cystobasidium_oligophagum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cystobasidium_raffinophilum" 0 0 1 0 0 0 0 0 1 0 0 15 0 0 0 0 0 0 0 0 0 0 3 0 5 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cystobasidium_ritchiei" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cystobasidium_slooffiae" 0 0 0 0 0 3 0 0 1 0 5 1 2 12 2 0 4 2 90 1 0 2 14 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 8
"Cystobasidium_terricola" 0 0 7 4 0 0 0 0 0 0 14 35 13 32 3 0 1 1 0 0 0 0 0 0 0 0 0 0 10 1 1 1 0 0 0 0 0 1 0 0 0 0
"Cystofilobasidium_alribaticum" 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cystofilobasidium_capitatum" 0 0 0 0 0 1 0 0 0 0 12 0 100 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"Cystofilobasidium_infirmominiatum" 0 0 0 0 0 0 0 0 0 78 3 0 0 42 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0
"Cystofilobasidium_macerans" 4 10 26 4 5 86 15 3 9 315 165 6 302 502 178 79 12 4 0 4 6 167 87 137 307 7 8 0 1553 258 244 81 1 1 31 0 16 4 132 10 1 0
"Cytospora_pubescentis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0
"Cytospora_unilocularis" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 2059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Dactylidispora_singaporensis" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0
"Dactylonectria_macrodidyma" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 16 12 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0
"Daldinia_vanderguchtiae" 0 0 0 0 0 1 0 0 0 0 0 0 5 11 0 0 0 0 0 0 5 0 0 0 0 0 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0
"Darksidea_gamma" 3 2 4 132 2 7 9 12 0 0 0 0 0 0 0 0 4 109 0 0 0 56 73 319 983 2 125 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Davidiellomyces_juncicola" 4 6 9 31 1450 82 66 4242 390 352 2138 28 6 2 2 6 19042 2758 1834 1996 70 0 0 653 162 1253 5 0 0 0 0 0 2265 13278 17227 9 15 434 0 17 0 1
"Debaryomyces_hansenii" 2 0 0 4 7 0 0 0 0 0 0 0 0 0 0 0 4 356 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Deconica_montana" 0 0 0 86 22 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dematiopleospora_salsolae" 0 1 3 1 1 1535 176 14 1626 8 19 93 0 3 0 0 0 0 225 1 0 12 38 17 122 0 7 0 0 0 0 0 1707 1296 13260 1237 330 1600 25 0 1 0
"Dendryphiella_eucalyptorum" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Derxomyces_pseudocylindricus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diaporthe_cynaroidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0
"Diaporthe_cytosporella" 0 0 0 0 0 0 0 0 0 0 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 68 322 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Diaporthe_eres" 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 5 72 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diaporthe_foeniculina" 0 0 0 0 0 0 1 0 0 8 1 0 3 4 40 0 0 0 3 0 0 0 0 64 5 23 4604 0 0 0 0 0 24 0 2 0 0 1 0 0 0 0
"Diaporthe_goulteri" 1 22 0 0 0 341 8 1045 0 0 0 0 6 368 34 33 0 0 0 0 0 0 15 30 12 0 0 131 218 82 1016 15 2 0 0 0 0 0 96 0 0 0
"Diaporthe_kongii" 80 10 0 0 0 61 7 0 0 0 0 0 0 0 2 0 0 0 2304 1 0 0 0 0 0 0 0 0 0 0 0 0 8191 2890 79 0 0 0 40 0 0 0
"Diaporthe_sackstonii" 1601 20 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0
"Diaporthe_toxicodendri" 0 0 0 40 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dichotomopilus_pseudoerectus" 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dictyosporella_guizhouensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dictyosporium_tratense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Didymella_finnmarkica" 2 0 0 0 1 3 1 0 0 0 0 0 1 0 286 0 0 33 4 0 0 0 0 0 36 0 0 0 0 3 94 0 0 0 0 0 55 0 5 0 0 0
"Didymella_glomerata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Didymocrea_sadasivanii" 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Didymocyrtis_banksiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"Didymocyrtis_brachylaenae" 19 30 8 294 393 1 1 0 197 0 38 3331 0 4 0 5 18 10 12 957 0 0 26 58 128 0 14 41 0 1 3 112 0 1 1 0 5 0 5 28 0 1
"Didymocyrtis_pini" 33 2 0 833 35 19 771 0 0 0 1721 0 0 0 3 180 0 0 0 0 0 0 4 0 0 0 0 31 0 0 0 1619 0 0 0 0 0 0 0 0 0 0
"Didymosphaeria_variabile" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 10 0 1 0 0 0 0 0 0 0 1 1 7 0 4 0 0 0 0 0
"Dimorphosporicola_tragani" 1 1 7 0 9 6 3 49 113 403 73 47 1 19 1 0 0 0 33 16 106 7 11 14 53 25 80 0 0 0 1 1 9 5 40 18417 264 211 0 2 37 63
"Dinemasporium_morbidum" 0 18 3 109 361 0 0 0 4 0 0 0 0 0 0 0 1 16 63 0 0 0 2 610 230 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 0 0
"Dinemasporium_polygonum" 0 0 0 7 4 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 41 667 136 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Dinemasporium_pseudoindicum" 54 18 35 282 486 1 9 223 9 0 0 24 0 2 2 21 1589 707 1 751 6 1 52 369 258 0 1 258 0 0 0 0 0 0 186 0 0 1 10 7 0 0
"Dioszegia_buhagiarii" 56 54 131 123 602 220 149 374 12 46 32 275 93 51 34 81 2030 757 274 499 110 20 127 626 825 77 310 48 34 44 6 7 494 118 273 0 3 38 11 41 1 0
"Dioszegia_butyracea" 0 0 0 4 7 0 0 0 0 0 0 0 0 6 0 0 28 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Dioszegia_catarinoi" 18 15 66 9 266 214 63 202 202 17 236 351 3 14 1 36 386 104 2524 573 4 71 201 169 203 417 730 28 0 2 0 3 1077 256 174 0 20 238 9 20 55 5
