Host_code	Host_community	GPS_localisation	Locality	Country	Ecosystem	Collection_date	Sequencing_plate	Additional_information	Biomass	Grid_code	Vegetation	Litter	Soil	Rocks
20_CAM_020200	"Parapholis filiformis_62,5;Trifolium squamosum_3;Limonium narbonense_37,5;Bupleurum tenuissimum_3;Elytrigia sp._3;Podospermum laciniatum_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_H06		19.06	20_CAM_02	90	10	0	
20_CAM_020300	"Parapholis filiformis_87,5;Trifolium squamosum_3;Limonium narbonense_20;Bupleurum tenuissimum_0,5;Elytrigia sp._3;Lactuca saligna_3;Juncus gerardi_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_E05		23.43	20_CAM_02	90	10	0	
20_CAM_020400	"Parapholis filiformis_62,5;Trifolium squamosum_20;Limonium narbonense_10;Elytrigia sp._3;Juncus gerardi_0,5;Centaurium tenuiflorum subsp. acutiflorum_10;Cynodon dactylon_10;Hordeum secalinum_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_B04		6.31	20_CAM_02	80	20	0	
20_CAM_020500	"Parapholis filiformis_87,5;Trifolium squamosum_3;Limonium narbonense_10;Elytrigia sp._10;Trifolium lappaceum_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Hordeum secalinum_3;Trifolium resupinatum_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_G04		21.53	20_CAM_02	95	5	0	
20_CAM_020600	"Parapholis filiformis_62,5;Trifolium squamosum_20;Limonium narbonense_37,5;Bupleurum tenuissimum_0,5;Elytrigia sp._10;Trifolium lappaceum_0,5;Lactuca saligna_0,5;Juncus gerardi_0,5;Carex divisa_0,5;Trifolium campestre_0,5;Inula britannica_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_E03		11.23	20_CAM_02	80	19	1	
20_CAM_020700	"Parapholis filiformis_20;Trifolium squamosum_20;Limonium narbonense_20;Elytrigia sp._37,5;Trifolium lappaceum_0,5;Juncus gerardi_0,5;Cynodon dactylon_20;Inula britannica_0,5;Cuscuta sp._10;Linum usitatissimum subsp. angustifolium_0,5"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_B02		19.5	20_CAM_02	90	10	0	
20_CAM_020800	"Parapholis filiformis_62,5;Limonium narbonense_10;Elytrigia sp._3;Juncus gerardi_0,5;Cynodon dactylon_20"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_G02		11.94	20_CAM_02	95	5	0	
20_CAM_020900	"Parapholis filiformis_10;Trifolium squamosum_3;Limonium narbonense_87,5;Elytrigia sp._20;Lactuca saligna_3"	43.476901995018125,4.664407996460795	Arles	France	Mediterranean salt grassland	2020-06-22	20CAM-1_D01		10.93	20_CAM_02	90	10	0	
20_CAM_030100	"Limonium narbonense_87,5;Parapholis filiformis_20;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Bupleurum semicompositum_0,5;Melilotus indicus_0,5"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_H12		9.48	20_CAM_03	95	5	0	
20_CAM_030200	"Parapholis filiformis_62,5;Aeluropus littoralis_10"	43.477205000817776,4.664586028084159	Arles	France	Parapholis-dominated salt grassland	2020-06-22	20CAM-2_E11		5.95	20_CAM_03	70	15	15	
