species,LB_NOM,NOM_VALIDE,CD_NOM,REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,RANG
Iris.reichenbachiana,Iris reichenbachiana,"Iris reichenbachiana Klatt, 1866",717276,Plantae,0,Equisetopsida,Asparagales,Iridaceae,Iridoideae,Irideae,ES
Juncus.bufonius.gpe,Juncus bufonius,"Juncus bufonius L., 1753",104144,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.gerardi,Juncus gerardi,"Juncus gerardi Loisel., 1809",104196,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.maritimus,Juncus maritimus,"Juncus maritimus Lam., 1794",104246,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.subulatus,Juncus subulatus,"Juncus subulatus Forssk., 1775",104341,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Lactuca.saligna,Lactuca saligna,"Lactuca saligna L., 1753",104770,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Lagurus.ovatus,Lagurus ovatus,"Lagurus ovatus L., 1753",104841,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Lathyrus.hirsutus,Lathyrus hirsutus,"Lathyrus hirsutus L., 1753",105201,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Lathyrus.setifolius,Lathyrus setifolius,"Lathyrus setifolius L., 1753",105260,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Leontodon.saxatilis,Leontodon saxatilis,"Leontodon saxatilis Lam., 1779",105521,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Leontodon.sp.,Leontodon,"Leontodon L., 1753",193954,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Limbarda.crithmoides,Limbarda crithmoides,"Limbarda crithmoides (L.) Dumort., 1827",106000,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Inuleae,ES
Limonium.girardianum,Limonium girardianum,"Limonium girardianum (Guss.) Fourr., 1869",106077,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Limonium.narbonense,Limonium narbonense,"Limonium narbonense Mill., 1768",106088,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Limonium.virgatum,Limonium virgatum,"Limonium virgatum (Willd.) Fourr., 1869",106111,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Linum.sp.,Linum,"Linum L., 1753",194177,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,GN
Linum.strictum,Linum strictum,"Linum strictum L., 1753",106342,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,ES
Linum.usitatissimum.subsp..angustifolium,Linum usitatissimum subsp. angustifolium,"Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912",137388,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,SSES
Lobularia.maritima,Lobularia maritima,"Lobularia maritima (L.) Desv., 1815",106439,Plantae,0,Equisetopsida,Brassicales,Brassicaceae,0,0,ES
Lolium.perenne,Lolium perenne,"Lolium perenne L., 1753",106499,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Lolium.rigidum,Lolium rigidum,"Lolium rigidum Gaudin, 1811",106507,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Lotus.glaber,Lotus glaber,"Lotus tenuis Waldst. & Kit. ex Willd., 1809",106670,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,Loteae,ES
Lotus.jordanii,Lotus jordanii,"Lotus jordanii (Loret & Barrandon) Coulot, Rabaute & J.-M.Tison, 2014",811201,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,Loteae,ES
Lysimachia.arvensis,Lysimachia arvensis,"Lysimachia arvensis (L.) U.Manns & Anderb., 2009",610909,Plantae,0,Equisetopsida,Ericales,Primulaceae,Myrsinoideae,0,ES
Lysimachia.linum.stellatum,Lysimachia linum-stellatum,"Lysimachia linum-stellatum L., 1753",107066,Plantae,0,Equisetopsida,Ericales,Primulaceae,Myrsinoideae,0,ES
Lythrum.hyssopifolia,Lythrum hyssopifolia,"Lythrum hyssopifolia L., 1753",107106,Plantae,0,Equisetopsida,Myrtales,Lythraceae,Lythroideae,0,ES
Malcolmia.littorea,Malcolmia littorea,"Malcolmia littorea (L.) W.T.Aiton, 1812",107185,Plantae,0,Equisetopsida,Brassicales,Brassicaceae,0,0,ES
Medicago.arabica,Medicago arabica,"Medicago arabica (L.) Huds., 1762",107574,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Medicago.littoralis,Medicago littoralis,"Medicago littoralis Rohde ex Loisel., 1810",107647,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
