species,LB_NOM,NOM_VALIDE,CD_NOM,REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,RANG
Trifolium.nigrescens,Trifolium nigrescens,"Trifolium nigrescens Viv., 1808",127402,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.pratense,Trifolium pratense,"Trifolium pratense L., 1753",127439,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.repens,Trifolium repens,"Trifolium repens L., 1753",127454,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.resupinatum,Trifolium resupinatum,"Trifolium resupinatum L., 1753",127457,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.scabrum,Trifolium scabrum,"Trifolium scabrum L., 1753",127470,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.sp.,Trifolium,"Trifolium L., 1753",198631,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,GN
Trifolium.squamosum,Trifolium squamosum,"Trifolium squamosum L., 1759",160269,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.stellatum,Trifolium stellatum,"Trifolium stellatum L., 1753",127491,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.suffocatum,Trifolium suffocatum,"Trifolium suffocatum L., 1771",127500,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.tomentosum,Trifolium tomentosum,"Trifolium tomentosum L., 1753",127506,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trigonella.esculenta,Trigonella esculenta,"Trigonella esculenta Willd., 1809",127559,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Ulmus.minor,Ulmus minor,"Ulmus minor Mill., 1768",128175,Plantae,0,Equisetopsida,Rosales,Ulmaceae,0,0,ES
Urospermum.picroides,Urospermum picroides,"Urospermum picroides (L.) Scop. ex F.W.Schmidt, 1795",128256,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Valantia.muralis,Valantia muralis,"Valantia muralis L., 1753",128367,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Veronica.arvensis,Veronica arvensis,"Veronica arvensis L., 1753",128801,Plantae,0,Equisetopsida,Lamiales,Plantaginaceae,0,Veroniceae,ES
Vicia.sativa,Vicia sativa,"Vicia sativa L., 1753",129298,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Vulpia.ciliata.subsp..ciliata,Vulpia ciliata subsp. ciliata,"Vulpia ciliata subsp. ciliata Dumort., 1824",142460,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,SSES
Vulpia.fasciculata,Vulpia fasciculata,"Vulpia fasciculata (Forssk.) Fritsch, 1909",130005,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Vulpia.sp.,Vulpia,"Vulpia C.C.Gmel., 1805",198938,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,GN
Vulpia.unilateralis,Vulpia unilateralis,"Vulpia unilateralis (L.) Stace, 1978",130046,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
